scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
winter,23,0,29,0.15884182205294403,0.0,-0.15884182205294403,0.01674405689067996,0.05000111867537319,6.580014363795001,150.5,6.754021359875697,6.882599312492474
shoulder,0,0,29,0.0,0.14295770284660447,0.14295770284660447,0.1674368227577959,0.49999999999999994,5.830101885585,142.46,5.965592851707893,5.791141575410656
shoulder,1,0,29,1.606783345838679e-10,0.0,-1.606783345838679e-10,0.016744149873721012,0.05000139634141917,5.37182203779,133.73,5.486281846613129,5.467408977696513
shoulder,2,0,29,4.928680265097095e-07,0.0,-4.928680265097095e-07,0.016743682427749273,0.050000000453812005,5.181368075070001,122.25,5.28763819735667,5.271624639009227
shoulder,3,0,29,4.931704791507179e-07,0.0,-4.931704791507179e-07,0.016743682436830474,0.0500000004809303,5.0793391664700005,116.75,5.181353815555364,5.166795757749176
shoulder,4,0,29,0.3176839336105679,0.0,-0.3176839336105679,0.016743682724104158,0.050000001338787244,5.035976880315001,114.38,5.136210706710075,5.451318342777078
shoulder,5,0,29,9.364560501360305e-06,0.0,-9.364560501360305e-06,0.31812996295432383,0.9499999991474742,5.0733874801350005,116.86,5.175156723580945,5.160669598756788
shoulder,6,0,29,9.364388855055091e-06,0.0,-9.364388855055091e-06,0.3181299631249102,0.9499999996568794,5.21537771127,124.3,5.3230867323535,5.3065959793962
shoulder,7,0,29,9.364364626054787e-06,0.0,-9.364364626054787e-06,0.318129963134604,0.949999999685827,5.491706005395001,132.21,5.611486079360489,5.59072892099685
shoulder,8,0,29,6.211838560375339e-10,0.0,-6.211838560375339e-10,0.31812996311988745,0.9499999996418804,5.83945453554,143.59,5.975394344835025,5.9488498723641
shoulder,9,0,29,0.0,1.2673366056184558e-10,1.2673366056184558e-10,0.3181210797203966,0.9499734720258384,6.16254607944,153.46,6.314477725053543,6.2823550664925545
shoulder,10,0,29,0.0,0.1428796185771285,0.1428796185771285,0.31811219584594613,0.9499469429914714,6.173599211205,156.95,6.326094738760355,6.14499511759948
shoulder,11,0,29,0.0,7.900650965484219e-10,7.900650965484219e-10,0.1674976218551116,0.5001815583224595,6.076671748035,155.97,6.22426041304674,6.193607565244771
shoulder,12,0,29,0.0,1.2207287243685228e-10,1.2207287243685228e-10,0.16749294353822258,0.5001675879280982,5.901522121605001,152.39,6.0404606118842485,6.01285040910754
shoulder,13,0,29,1.1587215110577121e-10,0.0,-1.1587215110577121e-10,0.1674882660542752,0.5001536200210681,5.653251777345001,145.46,5.7804038812757135,5.756722262055837
