scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
winter,16,0,16,0.0,2.7832859149926963e-16,2.7832859149926963e-16,0.15348360901267755,0.15348360901267755,0.15352984933287142,0.9996988186962027,2.220446049250313e-16,True,0.0038370902253169353,0.0859185695529195,0.19621345054537073,8.03225,167.93,8.23058798040219,8.231257158555552,8.230587980402152,0.9767863146518344,False
winter,17,0,16,0.0,9.926602878956266e-16,9.926602878956266e-16,0.15348360901267757,0.15348360901267757,0.15352984933287142,0.9996988186962029,1.942890293094024e-16,True,0.003837090225316918,0.08591617022247784,0.19620797116056013,8.2403,168.53,8.44944448826395,8.450004599558921,8.449444488263879,0.9755749918403908,False
winter,18,0,16,0.0,1.291072377897862e-16,1.291072377897862e-16,0.15348360901267757,0.15348360901267757,0.15352984933287142,0.9996988186962029,1.942890293094024e-16,True,0.003837090225316939,0.08591377095903818,0.19620249192876293,8.2365,166.68,8.445444339434182,8.446006451002656,8.445444339434255,0.9755971299422855,False
winter,19,0,16,0.0,1.220416983208782e-17,1.220416983208782e-17,0.15348360901267755,0.15348360901267755,0.15352984933287142,0.9996988186962027,2.220446049250313e-16,True,0.0038370902253169422,0.0859113717626004,0.1961970128499789,8.1244,164.82,8.327486405627468,8.328107387397035,8.327486405627438,0.9762499781026324,False
winter,20,0,16,-0.0,0.0,0.0,0.15348360901267752,0.15348360901267752,0.15352984933287142,0.9996988186962026,2.498001805406602e-16,True,0.0038370902253169414,0.08590897263316183,0.19619153392420188,7.94295,162.31,8.136743928939524,8.137459644272203,8.136743928939532,0.9773057826501386,False
winter,21,0,16,1.5142313172210287e-17,0.0,-1.5142313172210287e-17,0.1534836090126775,0.1534836090126775,0.15352984933287142,0.9996988186962024,2.7755575615628914e-16,True,0.00383709022531694,0.08590657357072053,0.19618605515142748,7.69405,158.05,7.875476154986827,7.87632071172393,7.875476154986956,0.9787522063811817,False
winter,22,0,16,0.034372240892355146,0.0,-0.034372240892355146,0.14961562862951172,0.1535131501669028,0.15352984933287142,0.9998912317960242,-2.9541154225043442e-05,True,0.002978522731863694,0.0859041745752747,0.1961805765316516,7.4366,152.64,7.605691721801845,7.642780560517544,7.642663561585708,0.9794905346291262,False
winter,23,0,16,0.10586505594237988,0.0,-0.10586505594237988,0.11119354552531716,0.15352984933287078,0.15352984933287142,0.9999999999999959,-4.624032019301394e-05,True,0.0011916198347622735,0.11851072058139968,0.2706446060833489,7.35205,150.5,7.517191992503694,7.630057012103089,7.6311397428596015,0.9779010526173629,False
shoulder,0,0,16,0.0,0.14796839417220478,0.14796839417220478,0.040948369470248935,0.15352984933286745,0.15352984933287142,0.9999999999999741,-4.624032018968327e-05,True,0.0001390363790165669,0.21894158966704583,0.49999999999999994,6.51415,142.46,6.6428211382204125,6.485143341062493,6.485792791251708,0.9866714490760394,False
shoulder,1,0,16,0.0,0.036739989787037027,0.036739989787037027,0.14902253840636664,0.1534846696013273,0.15352984933287142,0.9997057267251911,-1.0605886495429484e-06,True,0.00291861699535726,0.06296583905857481,0.14379597579959508,6.0021,133.73,6.11084061686081,6.072734792820795,6.071963020647403,0.9891867030911105,False
shoulder,2,0,16,3.843745478765971e-15,0.0,-3.843745478765971e-15,0.15348360901264949,0.15348360901264949,0.15352984933287142,0.99969881869602,2.8282931552325863e-14,True,0.0038370902253161447,0.024237412850040465,0.05535132198249627,5.789300000000001,122.25,5.890276214014047,5.8920661830072945,5.890276214020572,0.9897512309556517,False
shoulder,3,0,16,0.13358432465154418,0.0,-0.13358432465154418,0.07567458518921644,0.1535298493328549,0.15352984933287142,0.9999999999998924,-4.624032017713775e-05,True,0.0004986381170327685,0.024236736004949067,0.055349776261803305,5.6753,116.75,5.77224095934433,5.912941807199087,5.913636396831633,0.9864570797610949,False
shoulder,4,0,16,0.1457809185037807,0.0,-0.1457809185037807,0.048159510341840024,0.15352984933286343,0.15352984933287142,0.9999999999999479,-4.624032018565871e-05,True,0.00019372327072706853,0.1509675079756755,0.3447666297784228,5.62685,114.38,5.722102135006586,5.875777162786416,5.876371252363574,0.9860368370130551,False
shoulder,5,0,16,0.13358432465137798,0.0,-0.13358432465137798,0.07567458518950831,0.15352984933285418,0.15352984933287142,0.9999999999998878,-4.6240320176416105e-05,True,0.0004986381170369055,0.2892656494969907,0.6606000484807152,5.66865,116.86,5.765358237089774,5.906051230496683,5.906744126464658,0.9864953937517824,False
shoulder,6,0,16,1.2244921171804148e-05,0.0,-1.2244921171804148e-05,0.15348360901265132,0.15348360950110118,0.15352984933287142,0.999698821877497,-4.884234128255116e-10,True,0.003836784114498238,0.4159890203673865,0.9499999999999985,5.827299999999999,124.3,5.929640531145821,5.931424933530432,5.929653475407213,0.9895327504734074,False
shoulder,7,0,16,1.224492116936709e-05,0.0,-1.224492116936709e-05,0.15348360901265884,0.1534836095011087,0.15352984933287142,0.999698821877546,-4.884309345865034e-10,True,0.003836784114498487,0.4159890203673883,0.9500000000000026,6.13605,132.21,6.24983359108182,6.251469275641371,6.249846576192865,0.9877577893495485,False
shoulder,8,0,16,2.759815276591476e-15,0.0,-2.759815276591476e-15,0.15348360901266284,0.15348360901266284,0.15352984933287142,0.9996988186961069,1.4932499681208355e-14,True,0.0038370902253165055,0.41598902036738816,0.9500000000000024,6.5245999999999995,143.59,6.653696362515698,6.655129646832899,6.653696362515819,0.9855197709006517,False
shoulder,9,0,16,0.0,6.259053148481558e-15,6.259053148481558e-15,0.15348360901266528,0.15348360901266528,0.15352984933287142,0.9996988186961228,1.2490009027033011e-14,True,0.0038370902253164786,0.415977403610677,0.9499734706486607,6.8856,153.46,7.0298433224252594,7.031097738781755,7.02984332242529,0.9834356462665349,False
shoulder,10,0,16,0.0,0.0884037448706299,0.0884037448706299,0.12552367318159172,0.15352984933279415,0.15352984933287142,0.9999999999994967,-4.6240320116380795e-05,True,0.0016281526115541078,0.41596578717835925,0.9499469420381408,6.89795,156.95,7.042727295642623,6.947760866996036,6.948420320597011,0.9846698466960934,False
shoulder,11,0,16,0.0,0.048159510341331695,0.048159510341331695,0.1457809185039353,0.15352984933285077,0.15352984933287142,0.9999999999998656,-4.624032017300217e-05,True,0.002634258474787979,0.3227700824537792,0.7371145951407174,6.78965,155.97,6.929780430668722,6.878556521172347,6.878418398892942,0.9848259320055056,False
shoulder,12,0,16,0.0,2.3405307848252693e-15,2.3405307848252693e-15,0.15348360901266414,0.15348360901266414,0.15352984933287142,0.9996988186961154,1.3627987627273797e-14,True,0.0038370902253165484,0.2719973813842844,0.6211642607462631,6.59395,152.39,6.725887116421448,6.727286233886146,6.725887116427363,0.9851197417440322,False
shoulder,13,0,16,1.9464390202283784e-16,0.0,-1.9464390202283784e-16,0.15348360901266214,0.15348360901266214,0.15352984933287142,0.9996988186961023,1.5626389071599078e-14,True,0.003837090225316552,0.2719897856852309,0.6211469143410756,6.31655,145.46,6.437320106715954,6.438855342174778,6.437320106715976,0.986718885307668,False
shoulder,14,0,16,0.0,1.2385713597404426e-16,1.2385713597404426e-16,0.15348360901266395,0.15348360901266395,0.15352984933287142,0.9996988186961141,1.3822276656583199e-14,True,0.003837090225316599,0.2719821901982971,0.6211295684203089,6.61105,149.8,6.7436926105952395,6.745083289199641,6.743692610595241,0.9850210794501915,False
shoulder,15,0,16,0.0,2.706672101973643e-15,2.706672101973643e-15,0.15348360901266483,0.15348360901266483,0.15352984933287142,0.9996988186961199,1.2934098236883074e-14,True,0.0038370902253165562,0.2719745949234697,0.6211122229839325,6.7848999999999995,152.34,6.924828462268203,6.926133026501139,6.924828462268184,0.9840174512678641,False
shoulder,16,0,16,0.0,4.712376285358766e-14,4.712376285358766e-14,0.1534836090126655,0.1534836090126655,0.15352984933287142,0.9996988186961243,1.226796442210798e-14,True,0.0038370902253154625,0.27196699986074224,0.6210948780319319,6.94925,154.47,7.0962565625609795,7.097479179840068,7.096256562560942,0.983067723992759,False
