n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,99,15,2392,-3962475.5743760876,-3962475.4880474466,0.14252593783021764,-3962475.113899328,3.5877041000057943,0.8220183486238533
1,0,100,15,2407,-3962475.5770601723,-3962475.5307412203,0.08718843310274414,-3962475.210447671,3.4408365999988746,0.8232346241457859
1,0,101,15,2422,-3962475.5770601723,-3962475.4855557433,0.17299575189291477,-3962474.9777800404,3.519595899997512,0.8244343891402715
1,0,102,14,2436,-3962475.5770601723,-3962475.517995846,0.11273600553404471,-3962475.1939222924,3.0931112999969628,0.8255395683453237
1,0,103,14,2450,-3962475.5770601723,-3962475.260650027,0.541013706278917,-3962473.9262053184,3.4415893999976106,0.8266309204647007
1,0,104,14,2464,-3962475.5770601723,-3962475.552283552,0.024096426537584866,-3962475.481084347,3.0802028000180144,0.827708703374778
1,0,105,14,2478,-3962475.5798638314,-3962475.5572455428,0.02527137193771119,-3962475.4974038433,3.1002252000034787,0.8287731685789939
1,0,106,14,2492,-3962475.5798638314,-3962105.825160831,1333.1075478830414,-3957299.2375414334,3.1794331000128295,0.8298245614035088
1,0,107,14,2506,-3962475.5798638314,-3962475.5380250704,0.11041341969870307,-3962475.140576301,3.105976599996211,0.8308631211857018
1,0,108,14,2520,-3962475.5798638314,-3962475.5410587876,0.08127336149655497,-3962475.263775531,3.125789999990957,0.8318890814558059
1,0,109,14,2534,-3962475.5798638314,-3962475.548198839,0.0709534464817668,-3962475.2942134663,3.424188900011359,0.8329026701119724
1,0,110,13,2547,-3962475.5798638314,-3962475.5603540367,0.033356743668709714,-3962475.44988977,2.9765490000136197,0.8338329764453961
1,0,111,13,2560,-3962475.5798638314,-3962475.547929722,0.055932288200630835,-3962475.3578715622,3.008292300015455,0.8347529812606473
1,0,112,13,2573,-3962475.5798638314,-3962077.461138045,1379.0222172121807,-3957300.3880495727,3.261393099994166,0.8356628547225752
1,0,113,13,2586,-3962475.5798638314,-3962077.351347227,1379.43253880292,-3957298.856862521,3.2724311999918427,0.8365627632687447
1,0,114,13,2599,-3962475.5798638314,-3962077.4098666036,1379.2500715708732,-3957299.547466431,2.9428995000198483,0.8374528697109342
1,0,115,13,2612,-3962475.5798638314,-3962475.569488218,0.01086602580559183,-3962475.541705014,3.024071699997876,0.8383333333333334
1,0,116,13,2625,-3962475.5798638314,-3962077.4101459063,1379.2379606812597,-3957299.589699881,3.062176300009014,0.8392043099875673
1,0,117,13,2638,-3962475.5802355483,-3961679.0843191943,1867.8413354314773,-3957298.1824734956,3.1481232999940403,0.8400659521846661
1,0,118,13,2651,-3962475.5802355483,-3962077.5928670904,1378.6229375840887,-3957301.9029227793,3.2782332000206225,0.8409184091840919
1,0,119,12,2663,-3962475.5802355483,-3962475.5735479197,0.005632287897149871,-3962475.5594721213,2.90931499999715,0.8416972664218686
1,0,120,12,2675,-3962475.5802355483,-3962475.5720384605,0.006503032530301913,-3962475.55948909,2.9416815000004135,0.8424685343077548
1,0,121,12,2687,-3962475.5802355483,-3962475.571420291,0.007142075254997633,-3962475.5526258405,2.915417800017167,0.8432323232323232
1,0,122,12,2699,-3962475.5802355483,-3962475.5748359472,0.0027095129195079623,-3962475.5703672003,3.2257460999826435,0.843988741455569
1,0,123,12,2711,-3962475.5802355483,-3962044.200805916,1430.6977442039447,-3957299.113200035,2.8794552000181284,0.8447378951580632
1,0,124,12,2723,-3962475.5802355483,-3962475.5687883724,0.027788343013471255,-3962475.476940226,3.287074899999425,0.8454798884906412
1,0,125,12,2735,-3962475.5802355483,-3962475.563364815,0.023418540412952674,-3962475.502843082,2.9053877999831457,0.8462148236226714
1,0,126,12,2747,-3962475.5802355483,-3962475.571848763,0.01195094355167813,-3962475.5347411856,3.2221150000113994,0.8469428007889547
1,0,127,12,2759,-3962475.58065526,-3962475.5733783073,0.008968828601903785,-3962475.546866171,2.874150399991777,0.8476639183352964
1,0,128,11,2770,-3962475.58065526,-3962475.5612384486,0.04517111410714907,-3962475.4189231247,2.8510494000220206,0.8483189992181391
1,0,129,11,2781,-3962475.58065526,-3962475.576087552,0.004184780892907761,-3962475.566494448,2.840826700004982,0.8489684702218763
1,0,130,11,2792,-3962475.5809046607,-3962475.5697600096,0.01160311876610614,-3962475.549040012,2.8549893999879714,0.8496124031007752
1,0,131,11,2803,-3962475.5809147023,-3962475.554386614,0.05567510941527995,-3962475.3816945944,2.8935501000087243,0.8502508683905828
