point_id,bus,S,p_level,q_level,feasible,n_samples,alpha_median,dloss_ratio_to_p0_median,identity_abs_max_mw
P3_dev_run0,31,1.045,-1.045,0.2,False,72,0.9306210176727165,1.0633544632876792,5.729791641151394e-15
P3_dev_run0,31,1.045,-1.045,0.25,False,72,0.9303084427922934,1.0643885383112215,6.286637876939949e-15
P3_dev_run0,31,1.045,-1.045,0.3,False,72,0.9299534876256887,1.0654892650960197,5.2327933652840386e-15
P3_dev_run0,31,1.045,-1.045,0.4,False,72,0.9291004912746882,1.067917333275991,5.828670879282072e-15
P3_dev_run0,31,1.045,-0.5225,0.0,True,72,nan,nan,0.0
P3_dev_run0,31,1.045,-0.5225,0.0375,True,72,0.9445233247706466,1.0265477812698713,7.31576257906319e-15
P3_dev_run0,31,1.045,-0.5225,0.05,True,72,0.9445127469127157,1.0266301635753805,5.2627173452446385e-15
P3_dev_run0,31,1.045,-0.5225,0.0625,True,72,0.9445007111231921,1.0267137193621392,4.930734640029577e-15
P3_dev_run0,31,1.045,-0.5225,0.075,True,72,0.9444871893772186,1.0267984726277621,5.750174641994121e-15
P3_dev_run0,31,1.045,-0.5225,0.1,True,72,0.9444555708668265,1.0269716714445638,6.553785292240377e-15
P3_dev_run0,31,1.045,-0.5225,0.125,True,72,0.9444176492775478,1.0271499661999477,6.815728537112875e-15
P3_dev_run0,31,1.045,-0.5225,0.15,True,72,0.944373168741549,1.0273335749038,6.424548393280105e-15
P3_dev_run0,31,1.045,-0.5225,0.175,True,72,0.9443218587246658,1.0275227283121093,6.31873026124552e-15
P3_dev_run0,31,1.045,-0.5225,0.2,True,72,0.9442634329601882,1.0277176706879647,4.597017211338539e-15
P3_dev_run0,31,1.045,-0.5225,0.25,True,72,0.9441240031453193,1.0281259737957884,6.885117476151947e-15
P3_dev_run0,31,1.045,-0.5225,0.3,True,72,0.9439522275201592,1.0285607515817652,6.1652072336215724e-15
P3_dev_run0,31,1.045,-0.5225,0.4,True,72,0.9434992829328244,1.0295203160020332,5.16687387319692e-15
P3_dev_run0,31,1.045,0.0,0.0,True,72,nan,nan,0.0
P3_dev_run0,31,1.045,0.0,0.0375,True,72,0.9555233242034462,1.0,5.606301013705295e-15
P3_dev_run0,31,1.045,0.0,0.05,True,72,0.9555366568902561,1.0,5.523359547510154e-15
P3_dev_run0,31,1.045,0.0,0.0625,True,72,0.9555488523473761,1.0,6.444497713253838e-15
P3_dev_run0,31,1.045,0.0,0.075,True,72,0.9555598886632204,1.0,5.923430149157305e-15
P3_dev_run0,31,1.045,0.0,0.1,True,72,0.955578392679329,1.0,6.6188374225895075e-15
P3_dev_run0,31,1.045,0.0,0.125,True,72,0.9555919797931495,1.0,7.4870665223159e-15
P3_dev_run0,31,1.045,0.0,0.15,True,72,0.955600449970138,1.0,5.539405739662939e-15
P3_dev_run0,31,1.045,0.0,0.175,True,72,0.9556035916238553,1.0,4.879777137922758e-15
P3_dev_run0,31,1.045,0.0,0.2,True,72,0.9556011806284846,1.0,7.230327447871332e-15
P3_dev_run0,31,1.045,0.0,0.25,True,72,0.955578735976035,1.0,5.5398394205319335e-15
P3_dev_run0,31,1.045,0.0,0.3,True,72,0.9555310357428182,1.0,6.0706648041808364e-15
P3_dev_run0,31,1.045,0.0,0.4,True,72,0.955350153650758,1.0,6.8296063249206895e-15
P3_dev_run0,31,1.045,0.5225,0.0,True,72,nan,nan,0.0
P3_dev_run0,31,1.045,0.5225,0.0375,True,72,0.9643057426513137,0.9801746421659929,4.8693687970668975e-15
P3_dev_run0,31,1.045,0.5225,0.05,True,72,0.9643297161916745,0.980133029540716,5.169692798845382e-15
P3_dev_run0,31,1.045,0.5225,0.0625,True,72,0.9643527032163384,0.9800908031929441,3.882311139236094e-15
P3_dev_run0,31,1.045,0.5225,0.075,True,72,0.9643746846535111,0.9800479506543716,4.777428452840127e-15
P3_dev_run0,31,1.045,0.5225,0.1,True,72,0.9644155517604625,0.9799603150892127,4.924663107863658e-15
P3_dev_run0,31,1.045,0.5225,0.125,True,72,0.9644521535350312,0.9798700152628474,4.1125956806720154e-15
P3_dev_run0,31,1.045,0.5225,0.15,True,72,0.9644843164989413,0.9797769373978127,4.180683577104105e-15
