point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,10,-0.019614356053210782,-0.019616443752169213,0.0022194373933270535,8.001961813867208,0.24514937992968105,-0.0789499525664653,-0.044497542003579686,0.005563185560008754,0.022515640869227686,0.0073657245086919095,5,0.0047976650230014154,0.023281161406235026,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,11,-0.02157894019924135,-0.02158052383605806,0.0023264678780109595,8.17731369579364,0.2561411724299594,-0.08088927310632943,-0.045565748892388055,0.005845977119403777,0.022692601954990937,0.008137982062018358,5,0.004914671421090818,0.023623907653303897,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,12,-0.024578191894198492,-0.024580033251040218,0.002330625461589689,8.191449265849714,0.2570747860278723,-0.080959544284509,-0.045678593555193235,0.008118691017841283,0.022981899812898148,0.008581791015111941,5,0.006968889459576228,0.024131701371163203,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,13,-0.028981776827867047,-0.028984830524819497,0.002243508794307458,8.061934943371613,0.24899202665166117,-0.07931270242736504,-0.04488714572567132,0.012253667237535064,0.023194119730355848,0.008981155872190104,5,0.01064655885945151,0.0248012281084394,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,14,-0.03352538012120093,-0.03352829386764248,0.002452290621549872,8.395567851631842,0.2702941780255249,-0.0827222280117879,-0.046940773920348164,0.016619574376914952,0.02366666437570451,0.010277582906841958,5,0.013912345189700779,0.026373893562918683,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,15,-0.03846372695247083,-0.038465683425780384,0.0028675674671296584,8.572909519181337,0.2820024096661349,-0.08433541308178302,-0.04794882028808021,0.02142263653611443,0.023783347098558533,0.011840181614464587,5,0.016566377389050948,0.028639606245622014,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,16,-0.002108369182491257,-0.0020645543382119356,0.031775687664121664,8.633115382550578,0.2841927607545087,-0.08571889809292359,-0.04846223585473801,-0.0003396852901101332,0.022166022834955505,0.0020182612343230067,5,-0.0003848429621770851,0.022211180507022456,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,17,0.13573325035750414,0.13569648694515085,0.11199670058928707,8.646086723070953,0.27986717326384286,-0.08754300129565575,-0.05058005569431325,0.021800040393413555,0.026934025483269616,-0.0038034450359451465,5,0.021172349971116194,0.027561715905566976,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,18,0.13738470761432395,0.1373487048514897,0.10998394066636098,8.64616172762636,0.27994311077014367,-0.08756272187908296,-0.05060479792608241,0.021795545145697492,0.026944000839124613,-0.0037079142682258565,5,0.021197422749779614,0.027542123235042494,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,19,0.079854437034146,0.07985171217805788,0.15681894186299172,8.643480454018716,0.27840641306644665,-0.08699377481863814,-0.04958347538901397,0.023124805663045152,0.025724686694071942,-0.008085065353723657,5,0.02017834584564493,0.028671146511472165,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,20,0.004761011042392701,0.004836480014830583,0.17592043982632,8.639942049046342,0.27837495637488985,-0.0855889710491834,-0.04860511360450876,0.0006808945472699389,0.02236193653993135,-0.000724986311289077,5,0.0006748355867766499,0.022367995500424637,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,21,-0.07140857332414556,-0.07140902191596316,0.0023087701539749824,8.42666040039324,0.27286021614516554,-0.08227543834717185,-0.04707088341932992,0.022933220104678853,0.025394456804063766,0.011632539349473598,5,0.018218805699889404,0.030108871208853215,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,22,-0.06938688358940194,-0.06938751662761958,0.0020107931299912585,7.974150502711819,0.24409155815067962,-0.07731342947501381,-0.04422046210019951,0.02259532198350609,0.024754283606211274,0.011021455843369653,5,0.018059341901137206,0.02929026368858016,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,23,-0.06872372886158665,-0.0687244008273809,0.0016996297608391948,7.541087048539393,0.21810661584278596,-0.07261744748548135,-0.041536184256401494,0.022228118671306116,0.02422176610685712,0.010348451536944091,5,0.01795557147525899,0.028494313302904247,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,0,-0.019917548134823757,-0.019915890068876632,0.001629465942389539,7.20652594967619,0.19847806496832796,-0.07025293461939289,-0.0396062427840477,0.0067844161709479725,0.021846258153046503,0.006512124077112628,5,0.006110660997007303,0.022520013326987172,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,1,-0.020662692909628425,-0.020660946687271572,0.001374694649994377,6.738316915411519,0.1733503524562071,-0.06522594777224212,-0.0367728214974661,0.007609751321539236,0.02146701476729427,0.0061465491278949215,5,0.0069587422813811375,0.02211802380745237,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,2,-0.021458239482410005,-0.021456224338246954,0.0012583499811821945,6.508028642353504,0.16162921968774893,-0.06277600153394657,-0.035388037253859056,0.00809726958505425,0.021285201210361614,0.006056292056185817,5,0.007435199737245645,0.02194727105817022,CLARABEL,optimal,8.077530548573446,8.077530548573446
P1_old_full_opt,15,0.176,0.419,round1,round1,winter_peak,3,-0.02252250544891647,-0.022520185732923845,0.0011892502791687964,6.371404275842798,0.1548781558083744,-0.061317301129810785,-0.03457460933508686,0.008716887448906642,0.021222518951735103,0.006060020908174872,5,0.00802141793178065,0.021917988468861095,CLARABEL,optimal,8.077530548573446,8.077530548573446
