method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,1,P2_dev_run1,shoulder,21,1.4163123387695725e-11,0.0,1.4163123387695725e-11,,False
pwl,1,P2_dev_run1,shoulder,22,1.3756417990078156e-11,0.0,1.3756417990078156e-11,,False
pwl,1,P2_dev_run1,shoulder,23,1.4701112052916673e-11,0.0,1.4701112052916673e-11,,False
pwl,1,P3_dev_run0,summer,0,0.17289468149229067,0.15,0.02289468149229068,0.15263120994860455,False
pwl,1,P3_dev_run0,summer,1,1.5862552039716984e-12,0.0,1.5862552039716984e-12,,False
pwl,1,P3_dev_run0,summer,2,4.285316782959427e-07,0.0,4.285316782959427e-07,,False
pwl,1,P3_dev_run0,summer,3,3.076706748454374e-07,0.0,3.076706748454374e-07,,False
pwl,1,P3_dev_run0,summer,4,1.6456191483818396e-07,0.0,1.6456191483818396e-07,,False
pwl,1,P3_dev_run0,summer,5,0.10294891124151304,0.2,0.09705108875848698,0.48525544379243485,False
pwl,1,P3_dev_run0,summer,6,3.0348143617700665e-06,0.0,3.0348143617700665e-06,,False
pwl,1,P3_dev_run0,summer,7,3.0389128057900226e-06,0.0,3.0389128057900226e-06,,False
pwl,1,P3_dev_run0,summer,8,1.1323198311167384e-05,0.0,1.1323198311167384e-05,,False
pwl,1,P3_dev_run0,summer,9,3.733206488389062e-12,0.0,3.733206488389062e-12,,False
pwl,1,P3_dev_run0,summer,10,2.2345425669835158e-12,0.0,2.2345425669835158e-12,,False
pwl,1,P3_dev_run0,summer,11,2.2554566509742058e-12,0.0,2.2554566509742058e-12,,False
pwl,1,P3_dev_run0,summer,12,2.1968235656649663e-12,0.0,2.1968235656649663e-12,,False
pwl,1,P3_dev_run0,summer,13,2.0769836850014796e-12,0.0,2.0769836850014796e-12,,False
pwl,1,P3_dev_run0,summer,14,2.3590605493643696e-12,0.0,2.3590605493643696e-12,,False
pwl,1,P3_dev_run0,summer,15,2.0342152672556693e-11,0.0,2.0342152672556693e-11,,False
pwl,1,P3_dev_run0,summer,16,0.17278147500422664,0.2,0.027218524995773374,0.13609262497886687,False
pwl,1,P3_dev_run0,summer,17,3.259131768409932e-12,0.0,3.259131768409932e-12,,False
pwl,1,P3_dev_run0,summer,18,2.7120505940353528e-12,0.0,2.7120505940353528e-12,,False
pwl,1,P3_dev_run0,summer,19,2.637243169031968e-12,0.0,2.637243169031968e-12,,False
pwl,1,P3_dev_run0,summer,20,2.5649373914752267e-12,0.0,2.5649373914752267e-12,,False
pwl,1,P3_dev_run0,summer,21,2.3617586200336462e-12,0.0,2.3617586200336462e-12,,False
pwl,1,P3_dev_run0,summer,22,2.7353519915019483e-12,0.0,2.7353519915019483e-12,,False
pwl,1,P3_dev_run0,summer,23,2.5119327948692854e-09,0.0,2.5119327948692854e-09,,False
pwl,1,P3_dev_run0,winter,0,0.17289466645039245,0.15,0.022894666450392454,0.15263110966928303,False
pwl,1,P3_dev_run0,winter,1,0.0,0.0,0.0,,False
pwl,1,P3_dev_run0,winter,2,3.2067499885810705e-07,0.0,3.2067499885810705e-07,,False
pwl,1,P3_dev_run0,winter,3,4.4370090073380266e-07,0.0,4.4370090073380266e-07,,False
pwl,1,P3_dev_run0,winter,4,0.10294897245360425,0.2,0.09705102754639576,0.48525513773197876,False
pwl,1,P3_dev_run0,winter,5,1.1325099466982052e-05,0.0,1.1325099466982052e-05,,False
pwl,1,P3_dev_run0,winter,6,1.1325223986006094e-05,0.0,1.1325223986006094e-05,,False
pwl,1,P3_dev_run0,winter,7,1.1325229547576696e-05,0.0,1.1325229547576696e-05,,False
pwl,1,P3_dev_run0,winter,8,1.1325234934422501e-05,0.0,1.1325234934422501e-05,,False
pwl,1,P3_dev_run0,winter,9,5.014890054547057e-12,0.0,5.014890054547057e-12,,False
pwl,1,P3_dev_run0,winter,10,0.34577969037929734,0.3,0.045779690379297355,0.1525989679309912,False
pwl,1,P3_dev_run0,winter,11,4.604727030017081e-12,0.0,4.604727030017081e-12,,False
pwl,1,P3_dev_run0,winter,12,3.305953919316118e-12,0.0,3.305953919316118e-12,,False
pwl,1,P3_dev_run0,winter,13,4.761557407874697e-06,0.0,4.761557407874697e-06,,False
pwl,1,P3_dev_run0,winter,14,3.608440627106544e-12,0.0,3.608440627106544e-12,,False
pwl,1,P3_dev_run0,winter,15,1.8020672262427434e-12,0.0,1.8020672262427434e-12,,False
pwl,1,P3_dev_run0,winter,16,0.0,0.0,0.0,,False
pwl,1,P3_dev_run0,winter,17,1.6586157868013425e-09,0.0,1.6586157868013425e-09,,False
pwl,1,P3_dev_run0,winter,18,1.6636937965900266e-09,0.0,1.6636937965900266e-09,,False
pwl,1,P3_dev_run0,winter,19,8.104939037054469e-10,0.0,8.104939037054469e-10,,False
pwl,1,P3_dev_run0,winter,20,2.6335334055681696e-09,0.0,2.6335334055681696e-09,,False
pwl,1,P3_dev_run0,winter,21,6.581544387379622e-07,0.0,6.581544387379622e-07,,False
pwl,1,P3_dev_run0,winter,22,4.4063821264615303e-07,0.0,4.4063821264615303e-07,,False
pwl,1,P3_dev_run0,winter,23,0.19210558489555146,0.15,0.04210558489555147,0.28070389930367645,False
pwl,1,P3_dev_run0,shoulder,0,0.17289467169677136,0.1,0.07289467169677136,0.7289467169677135,False
pwl,1,P3_dev_run0,shoulder,1,4.0703012327032556e-11,0.0,4.0703012327032556e-11,,False
pwl,1,P3_dev_run0,shoulder,2,3.4182787674812974e-07,0.0,3.4182787674812974e-07,,False
pwl,1,P3_dev_run0,shoulder,3,3.4058346436698466e-07,0.0,3.4058346436698466e-07,,False
pwl,1,P3_dev_run0,shoulder,4,0.10294891160069701,0.2,0.097051088399303,0.485255441996515,False
pwl,1,P3_dev_run0,shoulder,5,3.03477395499343e-06,0.0,3.03477395499343e-06,,False
pwl,1,P3_dev_run0,shoulder,6,3.0347590018478317e-06,0.0,3.0347590018478317e-06,,False
pwl,1,P3_dev_run0,shoulder,7,3.035865291216694e-06,0.0,3.035865291216694e-06,,False
pwl,1,P3_dev_run0,shoulder,8,1.404315866841913e-09,0.0,1.404315866841913e-09,,False
pwl,1,P3_dev_run0,shoulder,9,5.3743226353527185e-11,0.0,5.3743226353527185e-11,,False
pwl,1,P3_dev_run0,shoulder,10,0.17280023734265157,0.15,0.022800237342651575,0.15200158228434385,False
pwl,1,P3_dev_run0,shoulder,11,1.4191392871236678e-10,0.0,1.4191392871236678e-10,,False
pwl,1,P3_dev_run0,shoulder,12,4.750653982319927e-11,0.0,4.750653982319927e-11,,False
pwl,1,P3_dev_run0,shoulder,13,5.1217865092566164e-11,0.0,5.1217865092566164e-11,,False
pwl,1,P3_dev_run0,shoulder,14,4.748332357676846e-11,0.0,4.748332357676846e-11,,False
pwl,1,P3_dev_run0,shoulder,15,5.006842283344345e-11,0.0,5.006842283344345e-11,,False
pwl,1,P3_dev_run0,shoulder,16,6.168883973307644e-11,0.0,6.168883973307644e-11,,False
pwl,1,P3_dev_run0,shoulder,17,6.940275293309668e-11,0.0,6.940275293309668e-11,,False
pwl,1,P3_dev_run0,shoulder,18,6.581615497810455e-11,0.0,6.581615497810455e-11,,False
pwl,1,P3_dev_run0,shoulder,19,7.513154388888904e-11,0.0,7.513154388888904e-11,,False
pwl,1,P3_dev_run0,shoulder,20,6.243759745023931e-11,0.0,6.243759745023931e-11,,False
