point_id,b,S,E,scenario,t,n_feasible,matrix_rank,A_P,A_Q,B_PP,B_QQ,B_PQ,relative_max_residual,rmse_mw,lambda_min,lambda_max,lambda_min_over_lambda_max_pct,is_psd
P2_dev_run1,17,0.303,0.404,winter,5,24,5,0.05829312121526202,0.03403368401269835,-0.024245284352909024,-0.0231571700274456,-0.0016258469029609183,0.0006079978027991053,5.079408048344999e-06,-0.024679410574971073,-0.02272304380538355,108.60961579946442,False
P2_dev_run1,17,0.303,0.404,winter,6,24,5,0.06014670838316632,0.03511383859767422,-0.02437880587664052,-0.023258662212231607,-0.0016847332940990551,0.0005966241100937129,5.127816568724576e-06,-0.024830298192323047,-0.02280716989654908,108.87058019452068,False
P2_dev_run1,17,0.303,0.404,winter,7,24,5,0.0641140015741709,0.037425131066308986,-0.02466599231340243,-0.02347653923315754,-0.001812091026256461,0.0005744248603194292,5.2325561409024215e-06,-0.02515506378462057,-0.022987467761939398,109.42946846137653,False
P2_dev_run1,17,0.303,0.404,winter,8,24,5,0.07042337114824597,0.041099228310415986,-0.025126673147938233,-0.023824862964068796,-0.0020183566661487644,0.0005441888786738711,5.402329244560323e-06,-0.025676650376072113,-0.02327488573593492,110.31912537567918,False
P2_dev_run1,17,0.303,0.404,winter,9,24,5,0.0780142386775172,0.045516922230046566,-0.02568737687373011,-0.024246900156463958,-0.0022726061091205194,0.0005143133386772797,5.611867157388834e-06,-0.02631247413309332,-0.02362180289710075,111.39062605726346,False
P2_dev_run1,17,0.303,0.404,winter,10,24,5,0.0785553624985543,0.04583173372882415,-0.025727617042520898,-0.024277109147886167,-0.002290985558754862,0.0005124087196614766,5.627027103284024e-06,-0.026358145893333546,-0.023646580297073515,111.46705173515348,False
P2_dev_run1,17,0.303,0.404,winter,11,24,5,0.076508485971942,0.04464083936108638,-0.025575592086991766,-0.02416292594473097,-0.0022216416190020106,0.0005197593219172567,5.5698393228891505e-06,-0.026185628750469758,-0.023552889281252976,111.17798940834119,False
P2_dev_run1,17,0.303,0.404,winter,12,24,5,0.07340976245390696,0.0428375751152975,-0.02534642235313948,-0.02399051413595073,-0.0021175875871439183,0.0005316866128618437,5.48407207543215e-06,-0.025925713674310708,-0.023411222814779503,110.74053619251279,False
P2_dev_run1,17,0.303,0.404,winter,13,24,5,0.06886756802312749,0.04019338800880371,-0.025012693934740305,-0.0237386558746595,-0.0019670687354168452,0.00055110916760131,5.3605545587632145e-06,-0.025547482524190927,-0.023203867285208877,110.1001062028827,False
P2_dev_run1,17,0.303,0.404,winter,14,24,5,0.0715184532618024,0.04173671590686442,-0.02520712641593143,-0.023885547522468947,-0.0020546241098947276,0.0005394822567443808,5.432199663028773e-06,-0.025767816707530526,-0.023324857230869852,110.4736309958094,False
P2_dev_run1,17,0.303,0.404,winter,15,24,5,0.07292825568092215,0.04255732528156694,-0.025310917566199565,-0.023963771706376234,-0.0021015185367989466,0.0005336325256918729,5.470831793965157e-06,-0.025885461430517183,-0.023389227842058616,110.67257801460991,False
P2_dev_run1,17,0.303,0.404,winter,16,24,5,0.07441548338533305,0.04342289436358199,-0.025420672638987424,-0.024046412947163337,-0.0021512374553995218,0.0005277045691164723,5.511802322643244e-06,-0.026009906014310448,-0.023457179571840313,110.88249520643399,False
P2_dev_run1,17,0.303,0.404,winter,17,24,5,0.07663028375671634,0.044711708376337846,-0.025584623827772796,-0.0241697137432882,-0.002225754271592451,0.0005193106300660708,5.5732303020362304e-06,-0.02619587578716963,-0.023558461783891368,111.19518764625649,False
P2_dev_run1,17,0.303,0.404,winter,18,24,5,0.07658967881855984,0.044688082149566946,-0.025581612625538087,-0.0241674507357177,-0.0022243830041048704,0.0005194600512515682,5.572099664356969e-06,-0.026192459372078657,-0.023556603989177128,111.18945406609777,False
P2_dev_run1,17,0.303,0.404,winter,19,24,5,0.07539438158971296,0.043992554779577156,-0.02549306168210037,-0.02410087549768155,-0.0021841023301554427,0.0005239324921203749,5.538891050647618e-06,-0.02609200578633331,-0.02350193139344861,111.02068740446884,False
P2_dev_run1,17,0.303,0.404,winter,20,24,5,0.07347000722178595,0.04287263836925619,-0.025350866611291708,-0.02399386098999859,-0.0021195999888278085,0.0005314449643734792,5.485730303131628e-06,-0.025930752489490925,-0.023413975111799372,110.74903926255237,False
P2_dev_run1,17,0.303,0.404,winter,21,24,5,0.07085095355267736,0.041348146929563415,-0.025158069226081808,-0.02384854964969314,-0.0020325010691546576,0.0005423337534646234,5.413978050100969e-06,-0.025712224459410904,-0.023294394416364043,110.37945009357428,False
P2_dev_run1,17,0.303,0.404,winter,22,24,5,0.06816674271508269,0.039785371420557804,-0.024961346090418446,-0.023700023285593126,-0.0019440567667101851,0.0005543652239204199,5.34115334696704e-06,-0.0254893792044945,-0.02317199017151707,110.00082002376281,False
P2_dev_run1,17,0.303,0.404,winter,23,24,5,0.0672906521458608,0.039275223533433455,-0.024897328886088695,-0.02365163395047365,-0.0019153694098644105,0.000558499174774721,5.317539707513501e-06,-0.025416890697924563,-0.023132072138637782,109.87727578226949,False
P2_dev_run1,17,0.303,0.404,shoulder,0,24,5,0.05875061464707748,0.03430027412336562,-0.024278238527959434,-0.02318214376150416,-0.0016403444716891656,0.0006051111183868969,5.091570347723434e-06,-0.02471661824832991,-0.022743764041133683,108.67426431099173,False
P2_dev_run1,17,0.303,0.404,shoulder,1,24,5,0.05365534542172519,0.03133026319881588,-0.0239130784393746,-0.022904014064016622,-0.0014802272108347737,0.0006397203336423303,4.960020412902915e-06,-0.024304269912948383,-0.02251282259044284,107.95745320387347,False
P2_dev_run1,17,0.303,0.404,shoulder,2,24,5,0.051564607992550374,0.030111214148703932,-0.023764110563127196,-0.022790380258605095,-0.0014153813952908557,0.0006558101325338854,4.906481065478533e-06,-0.024136235399178026,-0.022418255422554267,107.66330806854559,False
P2_dev_run1,17,0.303,0.404,shoulder,3,24,5,0.05045093549859428,0.029461753862648814,-0.02368499877270116,-0.02272991702383899,-0.0013810425772352096,0.0006648797590113434,4.878278592744164e-06,-0.02404702024663172,-0.022367895549908427,107.50685147369695,False
P2_dev_run1,17,0.303,0.404,shoulder,4,24,5,0.04997896000350385,0.029186491982075843,-0.02365151646537534,-0.022704313745465676,-0.0013665321918073891,0.000668837193638427,4.866362080623696e-06,-0.024009269906911747,-0.02234656030392927,107.44056168094075,False
P2_dev_run1,17,0.303,0.404,shoulder,5,24,5,0.050386107495831785,0.02942394608384139,-0.0236803982258891,-0.02272639955176915,-0.001379048013359609,0.0006654192357798956,4.876640547990694e-06,-0.024041832978870453,-0.022364964798787797,107.49774567127217,False
P2_dev_run1,17,0.303,0.404,shoulder,6,24,5,0.051936815792552805,0.030328259806281396,-0.023790584554042135,-0.02281060366558618,-0.0014268893767633744,0.000652860121316567,4.915933228991105e-06,-0.024166096252396588,-0.022435091967231726,107.71561038257893,False
P2_dev_run1,17,0.303,0.404,shoulder,7,24,5,0.05497939523458478,0.03210220466603727,-0.024007624015464482,-0.022976210909237182,-0.0015215506346394833,0.0006301580918499927,4.993697594028303e-06,-0.024411010674363257,-0.02257282425033841,108.14336036837432,False
P2_dev_run1,17,0.303,0.404,shoulder,8,24,5,0.0588555609198122,0.03436145756378151,-0.02428575502700569,-0.02318794567143143,-0.001643673497417512,0.0006044737710940192,5.094061411792253e-06,-0.024725137750142387,-0.02274856294829473,108.68878973296124,False
P2_dev_run1,17,0.303,0.404,shoulder,9,24,5,0.06250498487698346,0.03648783704200863,-0.02454928682628952,-0.023388067982241027,-0.0017602211334292223,0.0005830974682818128,5.189890697810146e-06,-0.025023050161209443,-0.022914304647321103,109.20274713260773,False
P2_dev_run1,17,0.303,0.404,shoulder,10,24,5,0.0626306652028306,0.03656105388986206,-0.024558391332306792,-0.023394973229539644,-0.001764262005941011,0.0005824043858374997,5.193214128777063e-06,-0.02503334709384325,-0.022920017468003186,109.22045381854669,False
P2_dev_run1,17,0.303,0.404,shoulder,11,24,5,0.06153042916127335,0.03592006822138771,-0.02447875360085849,-0.02333455320877928,-0.001728948658255448,0.0005885653181919115,5.1641725831333634e-06,-0.024943289551221944,-0.022870017258415826,109.06546011478494,False
P2_dev_run1,17,0.303,0.404,shoulder,12,24,5,0.059553007806281776,0.03476788650892906,-0.024335993670059716,-0.02322613339166722,-0.001665829350266244,0.0006001928148520378,5.112274953048761e-06,-0.02478191033004928,-0.022780216731677655,108.7869822396734,False
P2_dev_run1,17,0.303,0.404,shoulder,13,24,5,0.05677345640195547,0.0331479848222409,-0.02413612836967866,-0.02307410593033864,-0.0015778615240963668,0.0006178539458408667,5.039969466795278e-06,-0.024556108560443757,-0.022654125739573542,108.39574584662839,False
P2_dev_run1,17,0.303,0.404,shoulder,14,24,5,0.05972524468531832,0.03486825162417847,-0.024348409386756736,-0.023235568195580394,-0.0016713093729242674,0.0005991504556804727,5.116780142777421e-06,-0.0247959422931799,-0.02278803528915723,108.8112335203292,False
P2_dev_run1,17,0.303,0.404,shoulder,15,24,5,0.061482270350400894,0.035892009989468704,-0.024475271119051942,-0.023331910098445846,-0.001727406112828626,0.0005888398897186322,5.162904122307894e-06,-0.02493935195940829,-0.022867829258089497,109.05867661481682,False
P2_dev_run1,17,0.303,0.404,shoulder,16,24,5,0.06315331568550824,0.036865522583671706,-0.024596273710282272,-0.023423698713020767,-0.0017810856731626215,0.0005795510212662704,5.207051508209112e-06,-0.0250761942470916,-0.02294377817621144,109.29409295410244,False
P2_dev_run1,17,0.303,0.404,shoulder,17,24,5,0.06545855207336876,0.03820826485432717,-0.024763757624289093,-0.02355058061553523,-0.0018556631579824303,0.0005674982491769573,5.268404493830318e-06,-0.02526569113260094,-0.02304864710722338,109.61897683219222,False
P2_dev_run1,17,0.303,0.404,shoulder,18,24,5,0.06613320440510502,0.03860118148541798,-0.024812896229106502,-0.023587770525551107,-0.0018776044937646632,0.000564127145297016,5.286459372415625e-06,-0.02532130746540102,-0.02307935928925659,109.71408325528367,False
P2_dev_run1,17,0.303,0.404,shoulder,19,24,5,0.06663288386958911,0.03889217919707015,-0.024849326419298715,-0.023615331634381058,-0.001893889011526953,0.0005616737821692805,5.2998607129060615e-06,-0.025362545678326066,-0.023102112375353707,109.7845308093293,False
