point_id,scenario,t,p_t,q_star_t,gain_t_won,s_utilization
P2_dev_run1,summer_peak,12,-0.01979913795433219,0.02,33.8564224790841,0.09287986382216908
P2_dev_run1,summer_peak,13,-0.060718689564631376,0.05,88.39622038311902,0.25959061067610895
P2_dev_run1,summer_peak,14,-0.07315305078797862,0.1,112.59159921056792,0.408913006592372
P2_dev_run1,summer_peak,15,-0.06567950236851676,0.05,112.97733030516014,0.27242814162267326
P2_dev_run1,summer_peak,16,-0.012826550873306003,0.02,27.81796276894478,0.07841464751854398
P2_dev_run1,summer_peak,17,0.13396472371680607,0.1,215.77894387598275,0.55172345946572
P2_dev_run1,summer_peak,18,0.13566520514728958,0.1,215.6359368422726,0.5562309295356036
P2_dev_run1,summer_peak,19,0.07529810201959261,0.1,131.89731595209253,0.4131323048858743
P2_dev_run1,summer_peak,20,-0.004624577093746161,0.02,3.1392386106243,0.06774820459422091
P2_dev_run1,summer_peak,21,-0.10100931322232798,0.1,153.06303069396012,0.469098482689432
P2_dev_run1,summer_peak,22,-0.06531771262502559,0.05,88.55197913853681,0.2714790497478934
P2_dev_run1,summer_peak,23,-0.05923116410777039,0.05,69.97357335635522,0.25581987908814935
P2_dev_run1,winter_peak,0,-0.0024192249726954496,0.0,0.0,0.007984240833978381
P2_dev_run1,winter_peak,1,-0.01839006330748147,0.02,19.351621781762862,0.08966908806562349
P2_dev_run1,winter_peak,2,-0.019632262259039746,0.02,17.7034395398411,0.09249322688707567
P2_dev_run1,winter_peak,3,-0.02014872578128038,0.02,16.744686939276637,0.09369515194846774
P2_dev_run1,winter_peak,4,-0.022207450164037495,0.02,18.51143803662152,0.09863354447598958
P2_dev_run1,winter_peak,5,-0.026172206371609025,0.02,22.96279793318147,0.10870990487506085
P2_dev_run1,winter_peak,6,-0.03518460473411689,0.02,31.691259104812815,0.13356988175624482
P2_dev_run1,winter_peak,7,-0.055186442525022805,0.05,58.90263562530445,0.24577031564365437
P2_dev_run1,winter_peak,8,-0.09915365668766626,0.1,127.74025467713396,0.4647662467443591
P2_dev_run1,winter_peak,9,-0.03465186539495459,0.05,73.391146042074,0.2007716321598388
P2_dev_run1,winter_peak,10,0.1907462039015769,0.15,353.0711602615048,0.8008597090621576
P2_dev_run1,winter_peak,11,0.1541858507785275,0.15,284.3115918986671,0.7099413921411657
P2_dev_run1,winter_peak,12,-0.008852871832274296,0.02,17.454980147495064,0.07218398522206992
P2_dev_run1,winter_peak,13,-0.18775625899559198,0.15,274.76027723977285,0.7931264583472084
P2_dev_run1,winter_peak,14,-0.09502998401098788,0.1,172.8793900201347,0.4552864535496199
P2_dev_run1,winter_peak,15,-0.03396862891598193,0.05,70.67736626724084,0.19949581228697325
P2_dev_run1,winter_peak,16,0.014270746576631133,0.02,34.22250247478432,0.08108704754545926
P2_dev_run1,winter_peak,17,0.13162848364396723,0.1,242.99928953962217,0.5455641974186949
P2_dev_run1,winter_peak,18,0.04024958402155107,0.05,87.28879610157644,0.21183977608287424
P2_dev_run1,winter_peak,19,-0.06660221356699329,0.05,121.41851063206818,0.27485735918226445
P2_dev_run1,winter_peak,20,-0.049305572081184246,0.05,88.18425108179777,0.23175366425939317
P2_dev_run1,winter_peak,21,-0.03470727603757054,0.02,50.711226697689646,0.1322026285311974
P2_dev_run1,winter_peak,22,-0.031050385490145355,0.02,42.999676695782135,0.12189466122335818
P2_dev_run1,winter_peak,23,-0.026545182549242208,0.02,36.72184920398253,0.10969051474471456
P3_dev_run0,summer,0,0.17289467361654587,0.15,188.80491895231108,0.21903753991247907
P3_dev_run0,summer,1,-6.210617107998928e-10,0.0,0.0,5.943174266027683e-10
P3_dev_run0,summer,2,-5.964374122516265e-07,0.0,0.0,5.70753504547011e-07
P3_dev_run0,summer,3,-5.967602830432528e-07,0.0,0.0,5.710624718117252e-07
P3_dev_run0,summer,4,-8.063258042423408e-07,0.0,0.0,7.716036404232927e-07
P3_dev_run0,summer,5,-0.3842103547552098,0.2,199.3598428609812,0.41449614314055433
P3_dev_run0,summer,6,-1.1325997739476265e-05,0.0,0.0,1.0838275348781116e-05
P3_dev_run0,summer,7,-1.1325613159853204e-05,0.0,0.0,1.0837907330003066e-05
P3_dev_run0,summer,8,-1.1325204021846615e-05,0.0,0.0,1.0837515810379536e-05
P3_dev_run0,summer,9,-9.41457399741387e-10,0.0,0.0,9.009161720013272e-10
P3_dev_run0,summer,10,-2.5890521419580733e-11,0.0,0.0,2.4775618583330845e-11
P3_dev_run0,summer,11,4.0828901042452613e-10,0.0,0.0,3.9070718700911594e-10
P3_dev_run0,summer,12,3.023837911386643e-10,0.0,0.0,2.8936247955853046e-10
P3_dev_run0,summer,13,-9.747927460328204e-11,0.0,0.0,9.328160249117899e-11
P3_dev_run0,summer,14,6.699994908216291e-10,0.0,0.0,6.411478381068221e-10
P3_dev_run0,summer,15,7.444140168737176e-09,0.0,0.0,7.123579108839403e-09
P3_dev_run0,summer,16,0.17278147011754813,0.2,312.2065917896242,0.2529167529503925
P3_dev_run0,summer,17,1.1041934436410643e-09,0.0,0.0,1.0566444436756597e-09
P3_dev_run0,summer,18,4.877287608045345e-10,0.0,0.0,4.667260868942914e-10
P3_dev_run0,summer,19,2.7420587432077357e-10,0.0,0.0,2.623979658571996e-10
P3_dev_run0,summer,20,2.3023906693947466e-10,0.0,0.0,2.2032446597078915e-10
P3_dev_run0,summer,21,-1.0348983173165897e-10,0.0,0.0,9.903333180063059e-11
P3_dev_run0,summer,22,-4.771004943778206e-10,0.0,0.0,4.565554970122685e-10
P3_dev_run0,summer,23,-1.343814286637414e-09,0.0,0.0,1.2859466857774297e-09
P3_dev_run0,winter,0,0.17289466286580282,0.15,244.8622451048395,0.21903753214162136
P3_dev_run0,winter,1,-6.289022214061402e-10,0.0,0.0,6.018203075656844e-10
P3_dev_run0,winter,2,-6.030376234644556e-07,0.0,0.0,5.770694961382351e-07
P3_dev_run0,winter,3,-5.843863519567088e-07,0.0,0.0,5.592213894322573e-07
P3_dev_run0,winter,4,-0.38421053616836165,0.2,288.8169779468868,0.4144962971278107
P3_dev_run0,winter,5,-1.133602201623091e-05,0.0,0.0,1.0847867958115704e-05
P3_dev_run0,winter,6,-1.1335436240965776e-05,0.0,0.0,1.0847307407622754e-05
P3_dev_run0,winter,7,-1.1328279001305119e-05,0.0,0.0,1.084045837445466e-05
P3_dev_run0,winter,8,-1.1317895342603548e-05,0.0,0.0,1.0830521858950765e-05
P3_dev_run0,winter,9,2.675963316968128e-09,0.0,0.0,2.5607304468594527e-09
P3_dev_run0,winter,10,0.3457754557188187,0.3,672.7095702658747,0.43806503883984504
P3_dev_run0,winter,11,5.0230293577873496e-09,0.0,0.0,4.806726658169713e-09
P3_dev_run0,winter,12,-8.50892979847059e-11,0.0,0.0,8.142516553560374e-11
P3_dev_run0,winter,13,-6.230558658799218e-08,0.0,0.0,5.962257089760017e-08
P3_dev_run0,winter,14,-6.701966902394923e-09,0.0,0.0,6.4133654568372474e-09
P3_dev_run0,winter,15,-3.3319254008537214e-09,0.0,0.0,3.188445359668633e-09
P3_dev_run0,winter,16,-5.102754158463629e-11,0.0,0.0,4.883018333458018e-11
P3_dev_run0,winter,17,9.669072973263123e-10,0.0,0.0,9.252701409821171e-10
P3_dev_run0,winter,18,-1.140735825157931e-09,0.0,0.0,1.091613229816202e-09
P3_dev_run0,winter,19,-4.292013326826111e-09,0.0,0.0,4.107189786436471e-09
P3_dev_run0,winter,20,-1.996713599973088e-08,0.0,0.0,1.9107307176775964e-08
P3_dev_run0,winter,21,-6.040086101408169e-07,0.0,0.0,5.779986699912123e-07
P3_dev_run0,winter,22,-6.093981029308035e-07,0.0,0.0,5.831560793596205e-07
P3_dev_run0,winter,23,-0.19210555297793697,0.15,270.2376825622114,0.23323490242405892
P3_dev_run0,shoulder,0,0.1728946722060171,0.1,166.9803746176938,0.19113037187689494
P3_dev_run0,shoulder,1,-1.6728687795242415e-09,0.0,0.0,1.6008313679657814e-09
P3_dev_run0,shoulder,2,-5.966185494774607e-07,0.0,0.0,5.709268416052255e-07
P3_dev_run0,shoulder,3,-6.045891976363081e-07,0.0,0.0,5.785542561112996e-07
P3_dev_run0,shoulder,4,-0.3842105468687883,0.2,192.93733511040912,0.4144963062105559
P3_dev_run0,shoulder,5,-1.1332587338726351e-05,0.0,0.0,1.084458118538407e-05
P3_dev_run0,shoulder,6,-1.1325561365082715e-05,0.0,0.0,1.0837857765629394e-05
P3_dev_run0,shoulder,7,-1.1325641495798243e-05,0.0,0.0,1.0837934445739946e-05
P3_dev_run0,shoulder,8,-8.69950739505252e-09,0.0,0.0,8.324887459380403e-09
P3_dev_run0,shoulder,9,3.5719688313080993e-09,0.0,0.0,3.4181519916823917e-09
