point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,a_P,a_Q,b_PP,b_QQ,b_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P2_dev_run1,17,0.303,0.404,summer,21,37,5,9,17,-0.07464133674370428,-0.043554028138158035,0.02542709138727818,0.024038196707041305,0.00211622266556543,0.0006384983208052583,4.9775554734934045e-06,0.023466999270470492,0.025998288823848994,90.26363015454895,True
P2_dev_run1,17,0.303,0.404,summer,22,37,5,9,17,-0.07071577593861819,-0.04126915801864571,0.025138075037146084,0.023820682606768704,0.0019862738633456417,0.0006579871078176583,4.880138966266721e-06,0.023287656677765885,0.025671100966148903,90.71545746508521,True
P2_dev_run1,17,0.303,0.404,summer,23,37,5,9,17,-0.06721611989685934,-0.0392315326679235,0.02488200241088484,0.02362749323654318,0.0018719136672474546,0.0006772890779732939,4.7944711741810154e-06,0.023128043110164892,0.02538145253726313,91.12182636596566,True
P2_dev_run1,17,0.303,0.404,winter,0,37,5,9,17,-0.06726525441812482,-0.03926014484094643,0.024885587280686305,0.023630200845280922,0.0018735095640198055,0.0006770042462812476,4.795666281763712e-06,0.02313028229594303,0.025385505830024194,91.11609770874115,True
P2_dev_run1,17,0.303,0.404,winter,1,37,5,9,17,-0.0621999135077584,-0.03630979490853639,0.024517615595567897,0.023351698640608713,0.0017104367395165757,0.0007086947299113162,4.67393615413415e-06,0.022899650332392024,0.024969663903784585,91.70988612674593,True
P2_dev_run1,17,0.303,0.404,winter,2,37,5,9,17,-0.05973886268815309,-0.034875912279656494,0.024339886128425064,0.023217024158725744,0.0016322609583358863,0.0007259899656366737,4.615118263045795e-06,0.022787862538224363,0.024769047748926444,92.00136706592626,True
P2_dev_run1,17,0.303,0.404,winter,3,37,5,9,17,-0.05833525594450071,-0.0340579673795039,0.024238879803513816,0.02314032076581231,0.0015879832516407094,0.0007364820513903699,4.582004509079928e-06,0.022724131128396656,0.024655069440929468,92.16818951916113,True
P2_dev_run1,17,0.303,0.404,winter,4,37,5,9,17,-0.05776434574313171,-0.03372524289929043,0.02419786442203623,0.02310915357137846,0.0015700374665003833,0.0007408897760964031,4.568585367891418e-06,0.022698219909237625,0.024608798084177062,92.23619874321331,True
P2_dev_run1,17,0.303,0.404,winter,5,37,5,9,17,-0.05828763614270832,-0.0340302153751712,0.024235457184188625,0.023137720403257657,0.0015864849745467272,0.0007368465337154457,4.580884107669193e-06,0.022721969618261756,0.024651207969184526,92.1738587685665,True
P2_dev_run1,17,0.303,0.404,winter,6,37,5,9,17,-0.06014117115474822,-0.03511033666218362,0.024368881175903852,0.023239029574219076,0.0016449932942698559,0.0007230697487264243,4.624641584274692e-06,0.022806136806881053,0.024801773943241876,91.95365161811498,True
