method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
qp,,P2_dev_run1,shoulder,8,3.7041967763415406e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,3.009585516357541e-14,3.3456229264764013e-15,-2.6750232237099007e-14,4.777302661065799e-14,1.6567025112954328e-14,5.682278980130959e-16,4.970107533886302e-16,128,0.3029087420649499,4.5691162170868854e-14,-2.0818644397891354e-15,False
qp,,P2_dev_run1,shoulder,9,3.096968221999565e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.1952505668294088e-15,1.437350826726139e-14,1.3178257700431982e-14,3.584369389879126e-14,2.0616059006971316e-14,6.143596144807037e-16,6.184817702091401e-16,128,0.3029087420649499,3.365691151645542e-14,-2.1867823823358392e-15,False
qp,,P2_dev_run1,shoulder,10,0.08646418321696497,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.0,0.1504206460575745,0.1504206460575745,0.17347156552457355,0.023050919466999078,0.0006923958118893504,0.0006915275840099729,128,0.3029087420649499,0.17350050645388615,2.894092931260417e-05,False
qp,,P2_dev_run1,shoulder,11,0.017131753448821316,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.0,0.021952313303053566,0.021952313303053566,0.02783763699263415,0.005885323689580611,0.00017681131173906663,0.0001765597106874185,128,0.3029087420649499,0.027846023694355782,8.386701721631307e-06,False
qp,,P2_dev_run1,shoulder,12,2.4303078278158893e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,6.541040904338849e-16,1.3515091550582295e-15,6.974050646243446e-16,2.716005950026478e-14,2.465174113108031e-14,7.084703273593737e-16,7.395522339324099e-16,128,0.3029087420649499,2.4313082643270112e-14,-2.8469768569946673e-15,False
qp,,P2_dev_run1,shoulder,13,2.3491687990498686e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,4.371872210354274e-15,6.742004426940953e-16,-3.697671767660178e-15,2.696917119261552e-14,2.1492093437448938e-14,6.024974628008849e-16,6.447628031234687e-16,128,0.3029087420649499,2.3780920527689657e-14,-3.1882506649258616e-15,False
qp,,P2_dev_run1,shoulder,14,2.48480386117967e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,6.941165936039074e-16,6.78874259624376e-16,-1.5242333979531407e-17,2.7730000072916918e-14,2.5737711423671716e-14,7.449840285842515e-16,7.721313427101522e-16,128,0.3029087420649499,2.4848043286787894e-14,-2.881956786129024e-15,False
qp,,P2_dev_run1,shoulder,15,2.604816269324041e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,7.226544622272276e-16,1.9006896067283357e-15,1.178035144501108e-15,2.8755723207225854e-14,2.55858175625279e-14,7.469025725777606e-16,7.675745268758376e-16,128,0.3029087420649499,2.6074787563759773e-14,-2.680935643466081e-15,False
qp,,P2_dev_run1,shoulder,16,5.1962326308029337e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,6.620815005779962e-15,4.785404164487782e-14,4.1233226639097857e-14,6.785019703839202e-14,1.8532422717221998e-14,7.530373967573745e-16,5.559726815166605e-16,128,0.3029087420649499,6.633447319767698e-14,-1.5157238407150387e-15,False
qp,,P2_dev_run1,shoulder,17,1.1497659572999014e-13,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.888581653846095e-14,1.2692424892376765e-13,1.080384323853067e-13,1.589110492005311e-13,2.4381921818389727e-14,1.4919990853832842e-15,7.314576545516925e-16,128,0.3029087420649499,1.5777173523141614e-13,-1.1393139691149652e-15,False
qp,,P2_dev_run1,shoulder,18,7.241285917386385e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.1372695246525994e-14,7.012267423649152e-14,5.874997898996552e-14,9.462628016220044e-14,2.1543573642440732e-14,1.0349394561826136e-15,6.463072092732225e-16,128,0.3029087420649499,9.324796086271928e-14,-1.378319299481156e-15,False
