point_id,bus,S,scenario,t,p_level,q_level,feasible,A,B,C,dLoss_total,alpha,dloss_ratio_to_p0,identity_abs_mw
P2_dev_run1,17,0.303,winter,9,-0.1515,0.075,True,0.0015986266358296209,6.199632951092097e-05,4.262442697615066e-05,0.0017032473923163094,0.9385757131003671,1.0125822367168813,3.8315704775637727e-16
P2_dev_run1,17,0.303,winter,9,-0.1515,0.1,True,0.0020761340095605506,7.924592280766912e-05,5.658135175237277e-05,0.0022119612841182135,0.9385941899015607,1.012715734268433,2.379173247302191e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.125,True,0.0025260329716939815,9.479608356517666e-05,7.046690494458193e-05,0.002691295960202039,0.9385935285632238,1.012856705272917,1.7008963681952594e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.15,True,0.002948368626878881,0.0001086518062918919,8.43132854393648e-05,0.0031413337186073087,0.9385722406424308,1.0130057595071402,2.828900308449178e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.175,True,0.0033431858817466464,0.00012081801761256239,9.81524658048778e-05,0.0035621563651631327,0.9385286716894422,1.0131635749843193,9.54097911787244e-16
P2_dev_run1,17,0.303,winter,9,-0.1515,0.2,True,0.00371052944652466,0.000131299578418369,0.00011201619418642887,0.003953845219127727,0.9384609768167035,1.0133309083210529,1.730386667286865e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.25,True,0.004362973375155554,0.00014722786649797807,0.00013994317662142713,0.004650144418272717,0.9382447044034319,1.0136976184309678,2.2429974544380116e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.3,False,0.004906054223022497,0.00015647423784721838,0.00016834379895944867,0.005230872259829933,0.9379036572347885,1.0141140090835914,7.684824998577255e-16
P2_dev_run1,17,0.303,winter,9,-0.1515,0.4,False,0.005665526741800724,0.00015506651830795472,0.00022754691594619375,0.0060481401760548725,0.936738662941552,1.0151405085668654,8.673617379884035e-19
P2_dev_run1,17,0.303,winter,9,0.0,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P2_dev_run1,17,0.303,winter,9,0.0,0.0375,True,0.000824805512815186,3.103160075890661e-05,1.8238168527469446e-05,0.0008740752820998732,0.9436321215189591,1.0,1.6889701442979188e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.05,True,0.0010859216334921642,4.0576892484513064e-05,2.4239759031181816e-05,0.0011507382850065584,0.9436738549860407,1.0,1.3006089261136111e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.0625,True,0.0013401376564234355,4.972390495042426e-05,3.020921489946096e-05,0.0014200707762728193,0.9437118760663608,1.0,5.0133508455729725e-16
P2_dev_run1,17,0.303,winter,9,0.0,0.075,True,0.001587459218155166,5.8473233736546415e-05,3.6150573620772245e-05,0.0016820830255118713,0.9437460541949703,1.0,6.134415891922984e-16
P2_dev_run1,17,0.303,winter,9,0.0,0.1,True,0.002061441444928252,7.478120939939073e-05,4.7965078984756146e-05,0.0021841877333090842,0.9438023176721768,1.0,3.314622881722684e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.125,True,0.002507913163819788,8.950551490347263e-05,5.9715293136716865e-05,0.002657133971855241,0.9438414435944811,1.0,4.7362287702856776e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.15,True,0.0029269190292457344,0.00010265078208584689,7.143301034578657e-05,0.0031010028216776064,0.9438620980236017,1.0,2.389581588158052e-16
P2_dev_run1,17,0.303,winter,9,0.0,0.175,True,0.0033185035009666037,0.00011422157859216882,8.314980295348628e-05,0.0035158748825117048,0.9438627971299989,1.0,5.542441505745899e-16
P2_dev_run1,17,0.303,winter,9,0.0,0.2,True,0.0036827108457776073,0.00012422240844277163,9.489702320044933e-05,0.003901830277415197,0.9438418854592652,1.0,5.63134608388971e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.25,True,0.004329170266433941,0.0001395318747166449,0.00011860706597821165,0.004587309207128604,0.9437275908296047,1.0,1.93421667571414e-16
P2_dev_run1,17,0.303,winter,9,0.0,0.3,True,0.004866647619581058,0.00014861395402710186,0.00014280962250486198,0.005158071196114167,0.9435014435720367,1.0,1.1449174941446927e-15
P2_dev_run1,17,0.303,winter,9,0.0,0.4,False,0.00561604251713692,0.00014823027862632712,0.00019366122914860203,0.0059579340249099055,0.942615761379104,1.0,1.9437576548320123e-15
P2_dev_run1,17,0.303,winter,9,0.1515,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
