method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged
qp,,P1_old_full_opt,shoulder,6,6.262799552520925e-06,0.0,6.262799552520925e-06,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.1716873844501895e-05,2.1484336325320207e-17,-1.171687384448041e-05,1.3221649559830892e-05,1.5047757154147855e-06,4.706248869322825e-08,4.5143271462443606e-08
qp,,P1_old_full_opt,shoulder,7,6.262799557263043e-06,0.0,6.262799557263043e-06,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.1716873844590757e-05,1.5457134061981044e-17,-1.17168738445753e-05,1.3221649562510653e-05,1.5047757179999538e-06,4.706248875995466e-08,4.514327153999866e-08
qp,,P1_old_full_opt,shoulder,8,1.1834388119000986e-14,0.0,1.1834388119000986e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.0064060815228428e-14,2.3106704713320363e-15,-7.753390343896391e-15,1.5668502859431757e-14,4.894864238001844e-15,1.918403040718583e-16,1.4684592714005544e-16
qp,,P1_old_full_opt,shoulder,9,1.0860479174555731e-14,0.0,1.0860479174555731e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.1459638731362036e-15,6.155260926092469e-15,5.009297052956266e-15,1.3289449542559676e-14,6.5836225595737735e-15,2.0852292561277298e-16,1.9750867678721338e-16
qp,,P1_old_full_opt,shoulder,10,0.08296582568137413,0.0,0.08296582568137413,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.7571572531372297e-17,0.15521814252530802,0.155218142525308,0.175152511894304,0.019934369368996032,0.0006234557242406747,0.0005980310810698814
qp,,P1_old_full_opt,shoulder,11,0.015794613769496292,0.0,0.015794613769496292,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.676010452538263e-17,0.023554780961324254,0.023554780961324236,0.028360101846157375,0.004805320884833178,0.00014416076557704485,0.00014415962654499548
qp,,P1_old_full_opt,shoulder,12,8.635965584689776e-15,0.0,8.635965584689776e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,5.033593646017223e-16,1.249580228899683e-15,7.462208642979607e-16,1.0038399449394175e-14,8.120743138951017e-15,2.376577403673414e-16,2.4362229416853073e-16
qp,,P1_old_full_opt,shoulder,13,8.468977265546077e-15,0.0,8.468977265546077e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.816790576044487e-15,5.350109443264166e-16,-1.2817796317180702e-15,1.0081792965200236e-14,7.566356169572195e-15,2.1850941274115696e-16,2.2699068508716606e-16
qp,,P1_old_full_opt,shoulder,14,8.743883491980892e-15,0.0,8.743883491980892e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,4.93209564262223e-16,4.58660754485383e-16,-3.4548809776839983e-17,1.0120235542565237e-14,8.871858063959467e-15,2.6128208809564377e-16,2.6615574191878424e-16
qp,,P1_old_full_opt,shoulder,15,9.16338182374374e-15,0.0,9.16338182374374e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,5.527278859675315e-16,1.5299024195950836e-15,9.77174533627552e-16,1.0537164946319742e-14,8.29137429981057e-15,2.471448747941585e-16,2.487412289943173e-16
qp,,P1_old_full_opt,shoulder,16,1.672237224199658e-14,0.0,1.672237224199658e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,5.862245164822081e-15,1.8905766263548527e-14,1.3043521098726445e-14,2.3611337937846106e-14,3.271682098532389e-15,2.44928646567012e-16,9.815046295597175e-17
qp,,P1_old_full_opt,shoulder,17,2.7989222848794815e-14,0.0,2.7989222848794815e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,2.2874294402977257e-14,4.6297004116762255e-14,2.3422709713784998e-14,4.335948566170981e-14,0.0,3.9222415355152243e-16,0.0
qp,,P1_old_full_opt,shoulder,18,2.0709229378277362e-14,0.0,2.0709229378277362e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,9.236483649565313e-15,2.4753076478910807e-14,1.5516592829345494e-14,2.9355386781100677e-14,2.2024621749326087e-15,3.1082247830128264e-16,6.607386524797832e-17
qp,,P1_old_full_opt,shoulder,19,6.008297575649886e-14,0.0,6.008297575649886e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,6.652607415523346e-14,1.2477604121265988e-13,5.824996705742643e-14,9.571221074622977e-14,0.0,7.630229208945202e-16,0.0
qp,,P1_old_full_opt,shoulder,20,1.641560184398093e-14,0.0,1.641560184398093e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,4.615673377879841e-15,1.57014908072502e-14,1.108581742937036e-14,2.189363963979722e-14,4.8570141167048014e-15,2.616734041490959e-16,1.4571042350114417e-16
qp,,P1_old_full_opt,shoulder,21,9.845900719470466e-15,0.0,9.845900719470466e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,6.298916145660117e-16,5.620548382802996e-16,-6.783677628571205e-17,1.1099622782955444e-14,9.551309408367219e-15,2.933489289902528e-16,2.865392822510168e-16
qp,,P1_old_full_opt,shoulder,22,9.428381146576806e-15,0.0,9.428381146576806e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,5.444011460395977e-16,5.946946089324113e-16,5.0293462892813626e-17,1.0766231025945234e-14,9.25088415438953e-15,2.8134665466012326e-16,2.7752652463168615e-16
qp,,P1_old_full_opt,shoulder,23,9.471651997794894e-15,0.0,9.471651997794894e-15,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,2.3169989038312854e-15,6.451358684483321e-16,-1.6718630353829533e-15,1.1039238734450557e-14,7.906500411893643e-15,2.3838628231836733e-16,2.371950123568095e-16
