bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
13,summer,0,0.1,2.4,0.01798929320762044,0.025,0.06507258316890618,70.33024349750374
13,summer,0,0.3,0.3,0.01798929320762044,0.025,0.0,0.0
13,summer,0,0.3,1.0,0.01798929320762044,0.025,0.15863293848824717,177.43090433016735
13,summer,0,0.3,2.4,0.01798929320762044,0.025,0.15863293848824672,177.4309043301672
13,summer,0,0.5,1.0,0.01798929320762044,0.025,0.22575718028008188,256.8008162495954
13,summer,0,0.5,2.4,0.01798929320762044,0.025,0.2257571802800603,256.80081624959547
13,summer,0,1.0,1.0,0.01798929320762044,0.025,0.0,0.0
13,summer,0,1.0,2.4,0.01798929320762044,0.025,0.3366773587335219,389.90700750022097
14,summer,0,0.0,0.3,0.018178538265157303,0.025,0.0,0.0
14,summer,0,0.0,1.0,0.018178538265157303,0.025,0.0,0.0
14,summer,0,0.0,2.4,0.018178538265157303,0.025,0.0,0.0
14,summer,0,0.1,0.3,0.018178538265157303,0.025,0.06601641011533774,71.95042823295233
14,summer,0,0.1,1.0,0.018178538265157303,0.025,0.06601641011533797,71.95042823295229
14,summer,0,0.1,2.4,0.018178538265157303,0.025,0.06601641011533772,71.9504282329523
14,summer,0,0.3,0.3,0.018178538265157303,0.025,0.0,0.0
14,summer,0,0.3,1.0,0.018178538265157303,0.025,0.1606505294690339,181.37709308525447
14,summer,0,0.3,2.4,0.018178538265157303,0.025,0.16065052946903324,181.37709308525442
14,summer,0,0.5,1.0,0.018178538265157303,0.025,0.22844967224650056,262.4146071230934
14,summer,0,0.5,2.4,0.018178538265157303,0.025,0.22844967224647397,262.4146071230933
14,summer,0,1.0,1.0,0.018178538265157303,0.025,0.0,0.0
14,summer,0,1.0,2.4,0.018178538265157303,0.025,0.34042525507016796,398.2757080704076
15,summer,0,0.0,0.3,0.01839076829402857,0.025,0.0,0.0
15,summer,0,0.0,1.0,0.01839076829402857,0.025,0.0,0.0
15,summer,0,0.0,2.4,0.01839076829402857,0.025,0.0,0.0
15,summer,0,0.1,0.3,0.01839076829402857,0.025,0.0670878157956473,73.79531966352076
15,summer,0,0.1,1.0,0.01839076829402857,0.025,0.06708781579564789,73.79531966352073
15,summer,0,0.1,2.4,0.01839076829402857,0.025,0.06708781579564728,73.79531966352073
15,summer,0,0.3,0.3,0.01839076829402857,0.025,0.0,0.0
15,summer,0,0.3,1.0,0.01839076829402857,0.025,0.16292803505449832,185.86209583743977
15,summer,0,0.3,2.4,0.01839076829402857,0.025,0.16292803505449732,185.86209583743963
15,summer,0,0.5,1.0,0.01839076829402857,0.025,0.2314818281947232,268.7895684355535
15,summer,0,0.5,2.4,0.01839076829402857,0.025,0.2314818281946898,268.78956843555324
15,summer,0,1.0,1.0,0.01839076829402857,0.025,0.0,0.0
15,summer,0,1.0,2.4,0.01839076829402857,0.025,0.3446360875360045,407.77114842117163
16,summer,0,0.0,0.3,0.018665806566559546,0.025,0.0,0.0
16,summer,0,0.0,1.0,0.018665806566559546,0.025,0.0,0.0
16,summer,0,0.0,2.4,0.018665806566559546,0.025,0.0,0.0
16,summer,0,0.1,0.3,0.018665806566559546,0.025,0.06849732516278262,76.23072934036486
16,summer,0,0.1,1.0,0.018665806566559546,0.025,0.06849732516321014,76.2307293403648
16,summer,0,0.1,2.4,0.018665806566559546,0.025,0.06849732516278262,76.23072934036486
16,summer,0,0.3,0.3,0.018665806566559546,0.025,0.0,0.0
16,summer,0,0.3,1.0,0.018665806566559546,0.025,0.1659034169817338,191.76873137247404
16,summer,0,0.3,2.4,0.018665806566559546,0.025,0.16590341698173217,191.76873137247395
16,summer,0,0.5,1.0,0.018665806566559546,0.025,0.23543154038704456,277.1765474958203
16,summer,0,0.5,2.4,0.018665806566559546,0.025,0.23543154038699995,277.1765474958202
16,summer,0,1.0,1.0,0.018665806566559546,0.025,0.0,0.0
16,summer,0,1.0,2.4,0.018665806566559546,0.025,0.3501054035077596,420.25057397055735
17,summer,0,0.0,0.3,0.018769691740865926,0.025,0.0,0.0
17,summer,0,0.0,1.0,0.018769691740865926,0.025,0.0,0.0
17,summer,0,0.0,2.4,0.018769691740865926,0.025,0.0,0.0
17,summer,0,0.1,0.3,0.018769691740865926,0.025,0.06903606628230158,77.16385374260452
17,summer,0,0.1,1.0,0.018769691740865926,0.025,0.06903606628184102,77.1638537426045
17,summer,0,0.1,2.4,0.018769691740865926,0.025,0.06903606628230154,77.16385374260452
17,summer,0,0.3,0.3,0.018769691740865926,0.025,0.0,0.0
17,summer,0,0.3,1.0,0.018769691740865926,0.025,0.16703438721383068,194.02762358816605
17,summer,0,0.3,2.4,0.018769691740865926,0.025,0.16703438721382866,194.02762358816605
17,summer,0,0.5,1.0,0.018769691740865926,0.025,0.23692941078456048,280.3813903226891
17,summer,0,0.5,2.4,0.018769691740865926,0.025,0.2369294107845109,280.38139032268936
17,summer,0,1.0,1.0,0.018769691740865926,0.025,0.0,0.0
17,summer,0,1.0,2.4,0.018769691740865926,0.025,0.3521748835176273,425.0153613607935
