point_id,b,S,E,power_factor,k,j_net,b_energy,b_defer,b_arb,b_loss,cost,loss_line_total_mwh,loss_pcs_total_mwh,q_total_mvarh,n_clipped_hours,v_violation,i_violation
P2_dev_run1,17,0.303,0.404,0.95,0.75,2271931.7309190948,1834356.3943358976,10970640.508239998,1963540.6755586537,-129184.28122264777,10533065.1716568,710.3758424747557,5.521696325362818,4.685929283418902,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,1.0,2149104.4417039584,1725446.6855044663,10956722.927856293,1963540.6755586537,-238093.99005399982,10533065.1716568,709.2553330138045,7.388773915524387,6.2479057112252026,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,1.25,2016983.6411595996,1608905.5196526987,10941143.293163702,1963540.6755586537,-354635.15590593487,10533065.1716568,708.1762503814223,9.266547879643438,7.8098821390315045,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,1.5,1875784.816228155,1484929.5998424296,10923920.388042526,1963540.6755586537,-478611.0757158776,10533065.1716568,707.1384569273025,11.153913989946656,9.371858566837805,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,2.0,1566782.3037063517,1215265.1521200917,10884582.323243061,1963540.6755586537,-748275.5234381539,10533065.1716568,705.1862634324903,14.954017294939446,12.495811422450405,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,0.0,495707.35091792047,2172856.0791714042,11114970.566104516,2016972.5737975626,155883.50537397596,12792119.294358,945.1628993997379,0.0,0.0,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,0.25,1987879.6213091183,3279054.749875039,11500944.16579208,2016972.5737975626,1262082.176077609,12792119.294358,925.1147546836714,12.550211914305677,10.227674532013543,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,0.5,3114663.6025540456,4156518.4416600387,11750264.455252007,2016972.5737975626,2139545.8678628113,12792119.294358,906.161833546729,25.563799345567226,20.455349064027086,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,0.75,3995309.8446402885,4833893.871877351,11953535.267120939,2016972.5737975626,2816921.2980802646,12792119.294358,888.288365388363,38.86236819734398,30.683023596040627,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,1.0,4659723.896537889,5329546.513522529,12122296.677373359,2016972.5737975626,3312573.9397254065,12792119.294358,871.4824689499484,52.333729122085245,40.91069812805417,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,1.25,5121270.602282118,5653967.335630071,12259422.561010046,2016972.5737975626,3636994.7618329665,12792119.294358,855.7350949116774,65.91589713138468,51.138372660067716,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,1.5,5381927.146913033,5813449.708853857,12360596.732417176,2016972.5737975626,3796477.135056705,12792119.294358,841.0387010019898,79.57346088604393,61.366047192081254,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.850241,2.0,5339911.915576369,5658480.007062853,12473551.202871516,2016972.5737975626,3641507.4332655882,12792119.294358,814.918275332549,106.85034135155573,81.72411446212935,3,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,0.0,328796.8235362321,2166025.893889708,10954890.224004524,2016972.9266596916,149052.9672300242,12792119.294358,713.8135554223827,0.0,0.0,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,0.25,148321.083270628,1980841.7383314392,10959598.63929719,2016972.9266596916,-36131.18832818356,12792119.294358,707.7467478540897,7.352265453894427,6.773430924024502,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,0.5,-139354.5576775018,1713285.049041653,10939479.687638845,2016972.9266596916,-303687.87761810335,12792119.294358,702.0573355442905,14.884315111430542,13.546861848049003,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,0.75,-517633.47788938694,1369498.2526383584,10904987.563830255,2016972.9266596916,-647474.6740211663,12792119.294358,696.7420124117459,22.55792046344908,20.320292772073508,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,1.0,-980557.684174683,955297.5259285099,10856264.084254807,2016972.9266596916,-1061675.4007311214,12792119.294358,691.7976399440785,30.33702921246897,27.093723696098007,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,1.25,-1523583.3725357298,475143.46227578935,10793392.45954648,2016972.9266596916,-1541829.4643838047,12792119.294358,687.2215851506685,38.1942656461333,33.867154620122506,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,1.5,-2143421.3382449932,-67747.54168585475,10716445.497798862,2016972.9266596916,-2084720.4683456358,12792119.294358,683.0116599025692,46.110179931012205,40.640585544147015,0,0.0,0.0
P3_dev_run0,31,1.045,0.405,0.95,2.0,-3604654.4691525027,-1333136.2239529155,10520601.049158413,2016972.9266596916,-3350109.150612559,12792119.294358,675.6829412737736,62.06727864973158,54.18744739219601,0,0.0,0.0
