method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err
pwl,1,P3_dev_run0,winter,1,0.0,0.0,0.0,
pwl,1,P3_dev_run0,winter,2,3.1157865240339327e-07,0.0,3.1157865240339327e-07,
pwl,1,P3_dev_run0,winter,3,6.297150552567986e-07,0.0,6.297150552567986e-07,
pwl,1,P3_dev_run0,winter,4,0.10294910867290663,0.2,0.09705089132709338,0.4852544566354669
pwl,1,P3_dev_run0,winter,5,1.1324881098601484e-05,0.0,1.1324881098601484e-05,
pwl,1,P3_dev_run0,winter,6,1.1325352412899978e-05,0.0,1.1325352412899978e-05,
pwl,1,P3_dev_run0,winter,7,1.1325372100194865e-05,0.0,1.1325372100194865e-05,
pwl,1,P3_dev_run0,winter,8,1.1325377294645592e-05,0.0,1.1325377294645592e-05,
pwl,1,P3_dev_run0,winter,9,2.0997346636052197e-11,0.0,2.0997346636052197e-11,
pwl,1,P3_dev_run0,winter,10,0.34577969091896626,0.3,0.045779690918966276,0.1525989697298876
pwl,1,P3_dev_run0,winter,11,1.9577931487630784e-11,0.0,1.9577931487630784e-11,
pwl,1,P3_dev_run0,winter,12,9.169955073647291e-12,0.0,9.169955073647291e-12,
pwl,1,P3_dev_run0,winter,13,4.698934572625818e-06,0.0,4.698934572625818e-06,
pwl,1,P3_dev_run0,winter,14,1.5113109860370254e-11,0.0,1.5113109860370254e-11,
pwl,1,P3_dev_run0,winter,15,0.0,0.0,0.0,
pwl,1,P3_dev_run0,winter,16,0.0,0.0,0.0,
pwl,1,P3_dev_run0,winter,17,4.413246158329416e-09,0.0,4.413246158329416e-09,
pwl,1,P3_dev_run0,winter,18,2.165439781699603e-09,0.0,2.165439781699603e-09,
pwl,1,P3_dev_run0,winter,19,2.692237828415842e-09,0.0,2.692237828415842e-09,
pwl,1,P3_dev_run0,winter,20,8.108711798501887e-09,0.0,8.108711798501887e-09,
pwl,1,P3_dev_run0,winter,21,6.041667036942855e-07,0.0,6.041667036942855e-07,
pwl,1,P3_dev_run0,winter,22,7.224242990874133e-07,0.0,7.224242990874133e-07,
pwl,1,P3_dev_run0,winter,23,0.19210557711565815,0.15,0.042105577115658155,0.28070384743772103
pwl,1,P3_dev_run0,shoulder,0,0.17289467116452642,0.1,0.07289467116452641,0.7289467116452641
pwl,1,P3_dev_run0,shoulder,1,2.362081933297972e-12,0.0,2.362081933297972e-12,
pwl,1,P3_dev_run0,shoulder,2,3.394379448838554e-07,0.0,3.394379448838554e-07,
pwl,1,P3_dev_run0,shoulder,3,3.380548778664139e-07,0.0,3.380548778664139e-07,
pwl,1,P3_dev_run0,shoulder,4,0.10294891164969805,0.2,0.09705108835030196,0.4852554417515098
pwl,1,P3_dev_run0,shoulder,5,3.0345372763282795e-06,0.0,3.0345372763282795e-06,
pwl,1,P3_dev_run0,shoulder,6,3.03456087333455e-06,0.0,3.03456087333455e-06,
pwl,1,P3_dev_run0,shoulder,7,3.0374107004688583e-06,0.0,3.0374107004688583e-06,
pwl,1,P3_dev_run0,shoulder,8,1.7094429882384642e-09,0.0,1.7094429882384642e-09,
pwl,1,P3_dev_run0,shoulder,9,3.1746847815336984e-12,0.0,3.1746847815336984e-12,
pwl,1,P3_dev_run0,shoulder,10,0.17280023873818115,0.15,0.022800238738181156,0.15200159158787438
pwl,1,P3_dev_run0,shoulder,11,8.06677020782328e-11,0.0,8.06677020782328e-11,
pwl,1,P3_dev_run0,shoulder,12,2.6695687497774076e-12,0.0,2.6695687497774076e-12,
pwl,1,P3_dev_run0,shoulder,13,2.922059000790701e-12,0.0,2.922059000790701e-12,
pwl,1,P3_dev_run0,shoulder,14,2.6488613702154323e-12,0.0,2.6488613702154323e-12,
pwl,1,P3_dev_run0,shoulder,15,2.84083394126349e-12,0.0,2.84083394126349e-12,
pwl,1,P3_dev_run0,shoulder,16,3.912138731809208e-12,0.0,3.912138731809208e-12,
pwl,1,P3_dev_run0,shoulder,17,3.793943477575172e-12,0.0,3.793943477575172e-12,
pwl,1,P3_dev_run0,shoulder,18,4.217534611477263e-12,0.0,4.217534611477263e-12,
pwl,1,P3_dev_run0,shoulder,19,5.049086519553774e-12,0.0,5.049086519553774e-12,
pwl,1,P3_dev_run0,shoulder,20,3.859998638284337e-12,0.0,3.859998638284337e-12,
pwl,1,P3_dev_run0,shoulder,21,3.041048039444173e-12,0.0,3.041048039444173e-12,
pwl,1,P3_dev_run0,shoulder,22,2.9764217856265742e-12,0.0,2.9764217856265742e-12,
pwl,1,P3_dev_run0,shoulder,23,4.2794177512713155e-12,0.0,4.2794177512713155e-12,
pwl,2,P1_old_full_opt,summer,0,0.0471590578679489,0.0,0.0471590578679489,
pwl,2,P1_old_full_opt,summer,1,0.000769187795699868,0.0,0.000769187795699868,
pwl,2,P1_old_full_opt,summer,2,8.501978723864744e-12,0.0,8.501978723864744e-12,
pwl,2,P1_old_full_opt,summer,3,0.01219185247912562,0.02,0.00780814752087438,0.390407376043719
pwl,2,P1_old_full_opt,summer,4,0.04715905786802037,0.0,0.04715905786802037,
pwl,2,P1_old_full_opt,summer,5,0.04715905786801961,0.0,0.04715905786801961,
pwl,2,P1_old_full_opt,summer,6,3.1397468037253014e-06,0.0,3.1397468037253014e-06,
pwl,2,P1_old_full_opt,summer,7,3.142774198258235e-06,0.0,3.142774198258235e-06,
pwl,2,P1_old_full_opt,summer,8,1.171626435011528e-05,0.0,1.171626435011528e-05,
pwl,2,P1_old_full_opt,summer,9,1.7167826405681448e-11,0.0,1.7167826405681448e-11,
pwl,2,P1_old_full_opt,summer,10,2.3586037450907443e-12,0.0,2.3586037450907443e-12,
pwl,2,P1_old_full_opt,summer,11,2.410959626433884e-12,0.0,2.410959626433884e-12,
pwl,2,P1_old_full_opt,summer,12,2.3478296274990664e-12,0.0,2.3478296274990664e-12,
pwl,2,P1_old_full_opt,summer,13,2.2750389578043608e-12,0.0,2.2750389578043608e-12,
pwl,2,P1_old_full_opt,summer,14,3.1202111572391676e-12,0.0,3.1202111572391676e-12,
pwl,2,P1_old_full_opt,summer,15,0.04991462396207288,0.0,0.04991462396207288,
pwl,2,P1_old_full_opt,summer,16,0.12884094213134364,0.0,0.12884094213134364,
pwl,2,P1_old_full_opt,summer,17,1.5809085967366672e-11,0.0,1.5809085967366672e-11,
pwl,2,P1_old_full_opt,summer,18,3.292694442113444e-12,0.0,3.292694442113444e-12,
pwl,2,P1_old_full_opt,summer,19,2.7271326222737216e-12,0.0,2.7271326222737216e-12,
pwl,2,P1_old_full_opt,summer,20,2.646191832689226e-12,0.0,2.646191832689226e-12,
pwl,2,P1_old_full_opt,summer,21,2.58297523083726e-12,0.0,2.58297523083726e-12,
pwl,2,P1_old_full_opt,summer,22,1.837546838677978e-11,0.0,1.837546838677978e-11,
pwl,2,P1_old_full_opt,summer,23,7.462185872909873e-11,0.0,7.462185872909873e-11,
pwl,2,P1_old_full_opt,winter,0,0.047159057881476334,0.0,0.047159057881476334,
pwl,2,P1_old_full_opt,winter,1,2.993874448637269e-08,0.0,2.993874448637269e-08,
pwl,2,P1_old_full_opt,winter,2,5.841091184935412e-10,0.0,5.841091184935412e-10,
pwl,2,P1_old_full_opt,winter,3,0.047159058465874516,0.0,0.047159058465874516,
pwl,2,P1_old_full_opt,winter,4,0.04715905805739279,0.0,0.04715905805739279,
pwl,2,P1_old_full_opt,winter,5,0.011339510878440047,0.02,0.008660489121559953,0.43302445607799767
